"","time_CFU_trans","time_CFU_recip","Even_trans","prop_trans","ratio_trans","Even_recip","prop_recip","ratio_recip","trans_pop_size","recip_pop_size"
"1",NA,NA,NA,0,NA,NA,0,NA,0,0
"2",NA,NA,NA,0,NA,NA,0,NA,0,0
"3",NA,NA,NA,0,NA,NA,0,NA,0,0
"4",NA,NA,NA,0,NA,NA,0,NA,0,0
"5",NA,NA,NA,0,NA,NA,0,NA,0,0
"6",NA,NA,NA,0,NA,NA,0,NA,0,0
"7",1.32250353981742,0.536730741483748,0.978162258368796,1,1.07611630399668,0,0.333333333333333,NA,7590269,984885173
"8",NA,NA,NA,0,NA,NA,0,NA,0,0
"9",NA,NA,NA,0,NA,NA,0,NA,0,0
"10",4.97340955577443,4.18035397740875,0.952944540383267,1,1.18258838591181,0,0.333333333333333,NA,3981125,988447990
"11",NA,NA,NA,0,NA,NA,0,NA,0,0
"12",NA,NA,NA,0,NA,NA,0,NA,0,0
"13",NA,NA,NA,0,NA,NA,0,NA,0,0
"14",7.05741851944188,6.16290275303237,0.979491966434545,1,1.06782005752895,0,0.333333333333333,NA,1918679,990509048
"15",NA,NA,NA,0,NA,NA,0,NA,0,0
"16",NA,NA,NA,0,NA,NA,0,NA,0,0
"17",NA,NA,NA,0,NA,0,0.333333333333333,NA,0,1
"18",3.75148008086218,2.8959789644478,0.990581161336938,1,1.00854925757451,0,0.333333333333333,NA,5207613,987172163
"19",NA,7.34023245771484,0.96210615623214,1,1.01454412898999,0,0.333333333333333,NA,733127,991696715
"20",NA,NA,NA,0,NA,NA,0,NA,0,0
"21",3.30852413917755,2.42724343820174,0.986371864809243,1,1.04917809755727,0,0.333333333333333,NA,5585944,986797662
"22",5.99951689080933,5.30482049048452,0.954484904229746,1,1.08518953868176,0,0.333333333333333,NA,2966979,989485479
"23",7.29198483770974,6.52123550100609,0.92247917432767,1,1.13451941654229,0,0.333333333333333,NA,1699625,990777724
"24",NA,NA,NA,0,NA,NA,0,NA,0,0
"25",NA,7.87658559366173,0.880745806539417,1,1.08336476801207,0,0.333333333333333,NA,9797,40164499
"26",NA,NA,NA,0,NA,NA,0,NA,0,0
"27",NA,NA,NA,0,NA,NA,0,NA,0,0
"28",NA,NA,NA,0,NA,NA,0,NA,0,0
"29",5.58769355558996,4.71883389614042,0.986237511861921,1,1.03222477430246,0,0.333333333333333,NA,3384078,989010637
"30",NA,NA,NA,0,NA,NA,0,NA,0,0
"31",4.55188272975466,3.69594738448189,0.987628914355792,1,1.02045096397151,0,0.333333333333333,NA,4432594,987984769
"32",NA,NA,NA,0,NA,NA,0,NA,0,0
"33",NA,NA,NA,0,NA,NA,0,NA,0,0
"34",NA,NA,NA,0,NA,NA,0,NA,0,0
"35",NA,NA,NA,0,NA,NA,0,NA,0,0
"36",1.85983516789885,0.933755886494306,0.992310538182269,1,1.00743078959869,0,0.333333333333333,NA,7078172,985373900
"37",NA,NA,NA,0,NA,NA,0,NA,0,0
"38",NA,NA,NA,0,NA,NA,0,NA,0,0
"39",4.57734044004806,3.99106411024365,0.988815065001682,1,1.02422150059196,0,0.333333333333333,NA,4382502,988064988
"40",NA,NA,NA,0,NA,NA,0,NA,0,0
"41",NA,NA,NA,0,NA,NA,0,NA,0,0
"42",5.27980226444376,4.56723617682985,0.966543086198763,1,1.07223730572779,0,0.333333333333333,NA,3666437,988702045
"43",NA,NA,NA,0,NA,NA,0,NA,0,0
"44",NA,NA,NA,0,NA,NA,0,NA,0,0
"45",NA,NA,NA,0,NA,NA,0,NA,0,0
"46",NA,NA,NA,0,NA,NA,0,NA,0,0
"47",4.34221533933845,3.37255880132119,0.986988416134747,1,1.02473572246204,0,0.333333333333333,NA,4628363,987775758
"48",NA,NA,NA,0,NA,NA,0,NA,0,0
"49",2.16117043895886,1.36513224664188,0.990447093363361,1,1.0041447436794,0,0.333333333333333,NA,6738682,985679302
"50",NA,NA,NA,0,NA,NA,0,NA,0,0
"51",NA,NA,NA,0,NA,NA,0,NA,0,0
"52",1.87567148993166,0.897058107964974,0.991785392729103,1,1.00147368397379,0,0.333333333333333,NA,7050895,985403932
"53",NA,NA,NA,0,NA,NA,0,NA,0,0
"54",NA,NA,NA,0,NA,NA,0,NA,0,0
"55",7.25527203797709,6.45515184211238,0.916785489665212,1,1.16499560367726,0,0.333333333333333,NA,1718242,990672377
"56",5.44587188290834,4.61031039946081,0.966239533673956,1,1.10538153447238,0,0.333333333333333,NA,3508275,988964231
"57",NA,NA,NA,0,NA,NA,0,NA,0,0
"58",NA,NA,NA,0,NA,NA,0,NA,0,0
"59",NA,NA,NA,0,NA,NA,0,NA,0,0
"60",NA,NA,NA,0,NA,NA,0,NA,0,0
"61",7.59526200551338,6.89732144890696,0.851799316003757,1,1.59083479127026,0,0.333333333333333,NA,1409267,991006402
"62",NA,NA,NA,0,NA,NA,0,NA,0,0
"63",NA,NA,NA,0,NA,NA,0,NA,0,0
"64",NA,NA,NA,0,NA,NA,0,NA,0,0
"65",2.14153281439079,1.50339437384657,0.954363496239539,1,1.16504932173062,0,0.333333333333333,NA,6761539,985652807
"66",4.03841136927949,3.81089260440828,0.711320735920188,1,2.56653436253819,0,0.333333333333333,NA,5922327,986521278
"67",4.58128695503573,3.79327040981997,0.96767264636287,1,1.00549458795446,0,0.333333333333333,NA,4343030,988094262
"68",NA,NA,NA,0,NA,NA,0,NA,0,0
"69",NA,NA,NA,0,NA,NA,0,NA,0,0
"70",NA,NA,NA,0,NA,NA,0,NA,0,0
"71",NA,NA,NA,0,NA,NA,0,NA,0,0
"72",NA,NA,NA,0,NA,NA,0,NA,0,0
"73",2.94582111941403,2.72361356618419,0.739142234287229,1,2.28166688409176,0,0.333333333333333,NA,7202464,985202835
"74",NA,NA,NA,0,NA,NA,0,NA,0,0
"75",NA,NA,NA,0,NA,NA,0,NA,0,0
"76",NA,NA,NA,0,NA,NA,0,NA,0,0
"77",NA,7.22712594975969,0.917206724132976,1,1.13979489971867,0,0.333333333333333,NA,858242,991594456
"78",NA,NA,NA,0,NA,NA,0,NA,0,0
"79",NA,NA,NA,0,NA,NA,0,NA,0,0
"80",NA,NA,NA,0,NA,NA,0,NA,0,0
"81",NA,NA,NA,0,NA,NA,0,NA,0,0
"82",5.55447980891478,4.82799515026374,0.927028669292157,1,1.2498359948156,0,0.333333333333333,NA,3402793,988978663
"83",3.85076605161781,2.98026281379317,0.977314933522988,1,1.07060139017205,0,0.333333333333333,NA,5101212,987258701
"84",NA,NA,NA,0,NA,NA,0,NA,0,0
"85",1.56976200649697,0.658293046377252,0.992438986677097,1,1.01808727071233,0,0.333333333333333,NA,7327457,985117495
"86",NA,NA,NA,0,NA,NA,0,NA,0,0
"87",NA,NA,NA,0,NA,NA,0,NA,0,0
"88",NA,NA,NA,0,NA,NA,0,NA,0,0
"89",NA,NA,NA,0,NA,NA,0,NA,0,0
"90",7.67949866017023,6.91308486132477,0.870245777349243,1,1.52963002226227,0,0.333333333333333,NA,1308854,991070491
"91",NA,NA,NA,0,NA,NA,0,NA,0,0
"92",NA,NA,NA,0,NA,NA,0,NA,0,0
"93",NA,NA,NA,0,NA,NA,0,NA,0,0
"94",4.84181376062131,4.06098148271451,0.969759203162705,1,1.05747959846898,0,0.333333333333333,NA,4129124,988240112
"95",NA,NA,NA,0,NA,NA,0,NA,0,0
"96",NA,NA,NA,0,NA,NA,0,NA,0,0
"97",NA,NA,NA,0,NA,NA,0,NA,0,0
"98",NA,NA,NA,0,NA,NA,0,NA,0,0
"99",NA,NA,NA,0,NA,NA,0,NA,0,0
"100",NA,NA,NA,0,NA,NA,0,NA,0,0
