"","time_CFU_trans","time_CFU_recip","Even_trans","prop_trans","ratio_trans","Even_recip","prop_recip","ratio_recip","trans_pop_size","recip_pop_size"
"1",NA,NA,NA,0,NA,NA,0,NA,0,0
"2",NA,NA,NA,0,NA,NA,0,NA,0,0
"3",NA,NA,NA,0,NA,NA,0,NA,0,0
"4",NA,NA,NA,0,NA,NA,0,NA,0,0
"5",NA,NA,NA,0,NA,NA,0,NA,0,0
"6",NA,NA,NA,0,NA,NA,0,NA,0,0
"7",NA,NA,NA,0,NA,NA,0,NA,0,0
"8",NA,NA,NA,0,NA,NA,0,NA,0,0
"9",NA,NA,NA,0,NA,NA,0,NA,0,0
"10",4.2205417001059,NA,0,0.25,NA,0,0.333333333333333,NA,991507328,0
"11",NA,NA,NA,0,NA,NA,0,NA,0,0
"12",NA,NA,NA,0,NA,NA,0,NA,0,0
"13",4.64074371481848,NA,0,0.25,NA,0,0.333333333333333,NA,992362006,0
"14",NA,NA,NA,0,NA,NA,0,NA,0,0
"15",NA,NA,NA,0,NA,NA,0,NA,0,0
"16",NA,NA,NA,0,NA,NA,0,NA,0,0
"17",NA,NA,NA,0,NA,NA,0,NA,0,0
"18",NA,NA,NA,0,NA,NA,0,NA,0,0
"19",7.26726030643967,NA,0,0.25,NA,0,0.333333333333333,NA,992185050,0
"20",2.93634032827594,NA,0,0.25,NA,0,0.333333333333333,NA,992103634,0
"21",NA,NA,NA,0,NA,NA,0,NA,0,0
"22",NA,NA,NA,0,NA,NA,0,NA,0,0
"23",NA,NA,0,0.25,NA,0,0.333333333333333,NA,42,0
"24",NA,NA,NA,0,NA,NA,0,NA,0,0
"25",NA,NA,NA,0,NA,NA,0,NA,0,0
"26",NA,NA,NA,0,NA,NA,0,NA,0,0
"27",NA,NA,NA,0,NA,NA,0,NA,0,0
"28",NA,NA,NA,0,NA,NA,0,NA,0,0
"29",4.68190234522288,NA,0,0.25,NA,0,0.333333333333333,NA,992388611,0
"30",NA,NA,NA,0,NA,NA,0,NA,0,0
"31",NA,NA,NA,0,NA,NA,0,NA,0,0
"32",NA,NA,NA,0,NA,NA,0,NA,0,0
"33",NA,NA,NA,0,NA,NA,0,NA,0,0
"34",7.88351931045506,NA,0,0.25,NA,0,0.333333333333333,NA,32855967,0
"35",NA,NA,NA,0,NA,NA,0,NA,0,0
"36",NA,NA,NA,0,NA,NA,0,NA,0,0
"37",NA,NA,NA,0,NA,NA,0,NA,0,0
"38",NA,NA,NA,0,NA,NA,0,NA,0,0
"39",3.91364418980909,NA,0,0.25,NA,0,0.333333333333333,NA,993203780,0
"40",NA,NA,NA,0,NA,NA,0,NA,0,0
"41",NA,NA,NA,0,NA,NA,0,NA,0,0
"42",NA,NA,NA,0,NA,NA,0,NA,0,0
"43",1.25006959703296,NA,0,0.25,NA,0,0.333333333333333,NA,992950924,0
"44",NA,NA,NA,0,NA,0,0.333333333333333,NA,0,1
"45",4.18249854766959,NA,0,0.25,NA,0,0.333333333333333,NA,992653972,0
"46",NA,NA,NA,0,NA,NA,0,NA,0,0
"47",3.36395567031415,NA,0,0.25,NA,0,0.333333333333333,NA,992751512,0
"48",2.53317082992397,NA,0,0.25,NA,0,0.333333333333333,NA,992827847,0
"49",NA,NA,NA,0,NA,NA,0,NA,0,0
"50",NA,NA,NA,0,NA,NA,0,NA,0,0
"51",NA,NA,NA,0,NA,NA,0,NA,0,0
"52",6.72115702723578,NA,0,0.25,NA,0,0.333333333333333,NA,992281614,0
"53",5.11111823785864,NA,0,0.25,NA,0,0.333333333333333,NA,992251014,0
"54",2.7710216371784,NA,0,0.25,NA,0,0.333333333333333,NA,992237239,0
"55",NA,NA,NA,0,NA,NA,0,NA,0,0
"56",NA,NA,NA,0,NA,NA,0,NA,0,0
"57",NA,NA,NA,0,NA,NA,0,NA,0,0
"58",1.57660025540794,NA,0,0.25,NA,0,0.333333333333333,NA,992107874,0
"59",5.12444948130154,NA,0,0.25,NA,0,0.333333333333333,NA,992368156,0
"60",0.798906676162321,NA,0,0.25,NA,0,0.333333333333333,NA,992488736,0
"61",NA,NA,NA,0,NA,NA,0,NA,0,0
"62",NA,NA,NA,0,NA,NA,0,NA,0,0
"63",NA,NA,NA,0,NA,NA,0,NA,0,0
"64",NA,NA,NA,0,NA,NA,0,NA,0,0
"65",NA,NA,NA,0,NA,NA,0,NA,0,0
"66",NA,NA,NA,0,NA,NA,0,NA,0,0
"67",7.44859738039837,NA,0,0.25,NA,0,0.333333333333333,NA,992901225,0
"68",NA,NA,NA,0,NA,NA,0,NA,0,0
"69",2.61422473028456,NA,0,0.25,NA,0,0.333333333333333,NA,992179029,0
"70",NA,NA,NA,0,NA,NA,0,NA,0,0
"71",NA,NA,NA,0,NA,NA,0,NA,0,0
"72",NA,NA,NA,0,NA,NA,0,NA,0,0
"73",NA,NA,NA,0,NA,NA,0,NA,0,0
"74",NA,NA,NA,0,NA,NA,0,NA,0,0
"75",NA,NA,NA,0,NA,NA,0,NA,0,0
"76",NA,NA,NA,0,NA,NA,0,NA,0,0
"77",7.26428723865464,NA,0,0.25,NA,0,0.333333333333333,NA,992884335,0
"78",NA,NA,NA,0,NA,NA,0,NA,0,0
"79",NA,NA,NA,0,NA,NA,0,NA,0,0
"80",2.60184690443542,NA,0,0.25,NA,0,0.333333333333333,NA,992419140,0
"81",NA,NA,NA,0,NA,NA,0,NA,0,0
"82",NA,NA,NA,0,NA,NA,0,NA,0,0
"83",3.02816983045241,NA,0,0.25,NA,0,0.333333333333333,NA,992377756,0
"84",5.09043723835406,NA,0,0.25,NA,0,0.333333333333333,NA,992295940,0
"85",NA,NA,NA,0,NA,NA,0,NA,0,0
"86",NA,NA,NA,0,NA,NA,0,NA,0,0
"87",NA,NA,NA,0,NA,NA,0,NA,0,0
"88",NA,NA,NA,0,NA,NA,0,NA,0,0
"89",NA,NA,NA,0,NA,NA,0,NA,0,0
"90",NA,NA,NA,0,NA,NA,0,NA,0,0
"91",5.73874447196158,NA,0,0.25,NA,0,0.333333333333333,NA,992494889,0
"92",NA,NA,NA,0,NA,NA,0,NA,0,0
"93",NA,NA,NA,0,NA,NA,0,NA,0,0
"94",4.01471072120109,NA,0.000844029605422847,0.5,788.861709095742,0,0.333333333333333,NA,992452549,0
"95",NA,NA,NA,0,NA,NA,0,NA,0,0
"96",5.70589039830287,NA,0,0.25,NA,0,0.333333333333333,NA,991869157,0
"97",3.65262160501755,NA,0,0.25,NA,0,0.333333333333333,NA,991795137,0
"98",NA,NA,NA,0,NA,NA,0,NA,0,0
"99",NA,NA,NA,0,NA,NA,0,NA,0,0
"100",NA,NA,NA,0,NA,NA,0,NA,0,0
