"","time_CFU_trans","time_CFU_recip","Even_trans","prop_trans","ratio_trans","Even_recip","prop_recip","ratio_recip","trans_pop_size","recip_pop_size"
"1",NA,NA,NA,0,NA,NA,0,NA,0,0
"2",NA,NA,NA,0,NA,NA,0,NA,0,0
"3",NA,NA,NA,0,NA,NA,0,NA,0,0
"4",NA,NA,NA,0,NA,NA,0,NA,0,0
"5",NA,NA,NA,0,NA,NA,0,NA,0,0
"6",NA,NA,NA,0,NA,NA,0,NA,0,0
"7",0.98812227775544,0.537560865568812,0.995401975804803,1,1.01399450105166,0,0.333333333333333,NA,13300133,979114443
"8",3.7733893569533,3.33020814276652,0.993944623233336,1,1.01055574631824,0,0.333333333333333,NA,8407184,984047831
"9",NA,NA,NA,0,NA,NA,0,NA,0,0
"10",4.5170410147656,4.17980690684825,0.95075511055486,1,1.13468278989567,0,0.333333333333333,NA,7111100,985269512
"11",NA,NA,NA,0,NA,NA,0,NA,0,0
"12",NA,NA,NA,0,NA,NA,0,NA,0,0
"13",NA,NA,NA,0,NA,NA,0,NA,0,0
"14",NA,NA,NA,0,NA,0,0.333333333333333,NA,0,9
"15",NA,NA,NA,0,NA,NA,0,NA,0,0
"16",NA,NA,NA,0,NA,NA,0,NA,0,0
"17",NA,NA,NA,0,NA,NA,0,NA,0,0
"18",NA,NA,NA,0,NA,NA,0,NA,0,0
"19",7.63228404576575,7.33885944133743,0.768004197580346,1,1.97705043617119,0,0.333333333333333,NA,1786426,990637501
"20",NA,NA,NA,0,NA,NA,0,NA,0,0
"21",NA,NA,NA,0,NA,NA,0,NA,0,0
"22",6.11620509447298,5.67552648910759,0.975016787313613,1,1.04441419235707,0,0.333333333333333,NA,4299874,988048311
"23",NA,NA,NA,0,NA,NA,0,NA,0,0
"24",NA,NA,NA,0,NA,0,0.333333333333333,NA,0,1
"25",3.07445484716636,2.68994051827501,0.992923088409347,1,1.00238263237808,0,0.333333333333333,NA,9625762,982812772
"26",NA,NA,NA,0,NA,0,0.333333333333333,NA,0,317
"27",NA,NA,NA,0,NA,NA,0,NA,0,0
"28",NA,NA,NA,0,NA,NA,0,NA,0,0
"29",5.12052199888086,4.71895936534745,0.971664549365335,1,1.0692967104121,0,0.333333333333333,NA,5991117,986421076
"30",NA,NA,NA,0,NA,0,0.333333333333333,NA,0,1641
"31",NA,NA,NA,0,NA,NA,0,NA,0,0
"32",NA,NA,NA,0,NA,NA,0,NA,0,0
"33",NA,NA,NA,0,NA,NA,0,NA,0,0
"34",NA,NA,NA,0,NA,NA,0,NA,0,0
"35",NA,NA,NA,0,NA,NA,0,NA,0,0
"36",7.80489297815069,7.51134521487587,0.678522224736942,1,2.42724852692516,0,0.333333333333333,NA,1484592,990563047
"37",NA,NA,NA,0,NA,NA,0,NA,0,0
"38",NA,NA,NA,0,NA,NA,0,NA,0,0
"39",4.15890077775623,3.99158703327464,0.519415076421845,1,4.15278583865351,0,0.333333333333333,NA,13900323,978496184
"40",5.88854151380623,5.58888889483059,0.93667789317289,1,1.09684736502711,0,0.333333333333333,NA,4799356,987594656
"41",NA,NA,NA,0,NA,NA,0,NA,0,0
"42",NA,NA,NA,0,NA,NA,0,NA,0,0
"43",NA,NA,NA,0,NA,NA,0,NA,0,0
"44",NA,NA,NA,0,NA,NA,0,NA,0,0
"45",NA,NA,NA,0,NA,NA,0,NA,0,0
"46",NA,NA,NA,0,NA,NA,0,NA,0,0
"47",3.86438573133951,3.37262070305991,0.992506358620104,1,1.01956832895446,0,0.333333333333333,NA,8236850,984176454
"48",NA,NA,NA,0,NA,0,0.333333333333333,NA,0,1
"49",NA,NA,NA,0,NA,NA,0,NA,0,0
"50",NA,NA,NA,0,NA,NA,0,NA,0,0
"51",NA,NA,NA,0,NA,NA,0,NA,0,0
"52",6.60828135794385,6.17655125982086,0.973830459507917,1,1.08934673166007,0,0.333333333333333,NA,3463212,988954860
"53",NA,NA,NA,0,NA,NA,0,NA,0,0
"54",7.32709543825413,6.86809561403645,0.970661280752705,1,1.02893608467242,0,0.333333333333333,NA,2177532,990248771
"55",NA,NA,NA,0,NA,NA,0,NA,0,0
"56",5.01990746810747,4.61062860951041,0.993045675020643,1,1.01785918990596,0,0.333333333333333,NA,6221548,986183074
"57",NA,NA,NA,0,NA,NA,0,NA,0,0
"58",NA,NA,NA,0,NA,NA,0,NA,0,0
"59",NA,NA,NA,0,NA,NA,0,NA,0,0
"60",2.76150836406816,2.33799616155357,0.987599877258672,1,1.02955191606935,0,0.333333333333333,NA,10199227,982314540
"61",NA,NA,NA,0,NA,NA,0,NA,0,0
"62",6.1946700345671,5.8365651741715,0.959147219379583,1,1.0003089885864,0,0.333333333333333,NA,4173547,988263547
"63",NA,NA,NA,0,NA,NA,0,NA,0,0
"64",2.38099488955581,1.98192469892807,0.991960118233285,1,1.00080506494822,0,0.333333333333333,NA,10887515,981532782
"65",1.81195175833513,1.50339500885617,0.970098720115641,1,1.09836071745392,0,0.333333333333333,NA,11893861,980543772
"66",NA,7.85634020183722,0.445410563395982,1,4.33389945652174,0,0.333333333333333,NA,59804,71716439
"67",NA,NA,NA,0,NA,NA,0,NA,0,0
"68",NA,NA,NA,0,NA,NA,0,NA,0,0
"69",NA,NA,NA,0,NA,NA,0,NA,0,0
"70",NA,NA,NA,0,NA,NA,0,NA,0,0
"71",NA,NA,NA,0,NA,0,0.333333333333333,NA,0,1792
"72",0.971636370346224,0.761142284487514,0.910357539048685,1,1.26289526400585,0,0.333333333333333,NA,15062159,977350623
"73",1.75976033593295,1.30512630618054,0.991245162860938,1,1.02725105594316,0,0.333333333333333,NA,11961616,980443090
"74",NA,NA,NA,0,NA,NA,0,NA,0,0
"75",NA,NA,NA,0,NA,NA,0,NA,0,0
"76",NA,NA,NA,0,NA,NA,0,NA,0,0
"77",7.71286846696105,7.22752604881401,0.980114756775921,1,1.03060103241923,0,0.333333333333333,NA,1506142,990985633
"78",NA,NA,NA,0,NA,0,0.333333333333333,NA,0,2158
"79",NA,NA,NA,0,NA,NA,0,NA,0,0
"80",2.33794650966995,1.95028492865071,0.993679366047254,1,1.00925624536308,0,0.333333333333333,NA,10892631,981562388
"81",NA,NA,NA,0,NA,NA,0,NA,0,0
"82",NA,NA,NA,0,NA,NA,0,NA,0,0
"83",3.43237484045218,2.98024929068876,0.982953957100009,1,1.01812955944183,0,0.333333333333333,NA,8984353,983445662
"84",NA,NA,NA,0,NA,NA,0,NA,0,0
"85",7.25391597954921,6.85968866978968,0.933625695840272,1,1.11675151118653,0,0.333333333333333,NA,2303989,990110520
"86",NA,7.95702268099148,0.761808367071525,1,1.22996515679443,0,0.333333333333333,NA,988,3666816
"87",3.13489892448048,2.87632465449096,0.920952053767213,1,1.27280167712485,0,0.333333333333333,NA,9960866,982428263
"88",NA,NA,NA,0,NA,NA,0,NA,0,0
"89",NA,NA,NA,0,NA,NA,0,NA,0,0
"90",NA,NA,NA,0,NA,NA,0,NA,0,0
"91",NA,NA,NA,0,NA,NA,0,NA,0,0
"92",NA,NA,NA,0,NA,NA,0,NA,0,0
"93",NA,NA,NA,0,NA,NA,0,NA,0,0
"94",4.39006364534994,4.06098990974362,0.968065477496037,1,1.06739730993376,0,0.333333333333333,NA,7385988,985067588
"95",NA,NA,NA,0,NA,NA,0,NA,0,0
"96",1.72705463477956,1.22308060867815,0.988321505381131,1,1.03256903890985,0,0.333333333333333,NA,11905273,980510804
"97",NA,NA,NA,0,NA,NA,0,NA,0,0
"98",NA,NA,NA,0,NA,NA,0,NA,0,0
"99",2.50739185584197,2.00176453775563,0.996143179797389,1,1.01041802588905,0,0.333333333333333,NA,10585404,981806242
"100",7.05790539721788,6.58160653041731,0.985057313195579,1,1.00920181258233,0,0.333333333333333,NA,2639619,989746717
