replicate,time_CFU_trans,time_CFU_recip,Even_trans,prop_trans,ratio_trans,Even_recip,prop_recip,ratio_recip,trans_pop_size,recip_pop_size,carrying_cap
1,1.55187766880762,1.47988456683945,0.97768415633592,1,1.00472018879616,0.0865830353770305,0.666666666666667,10.5496066365131,9642472492,281787558,10000000000
2,1.45708316044171,1.40196361409331,0.915655898554306,1,1.26970912525738,0.0237749199167825,0.666666666666667,41.0611301110676,9685619247,238800933,10000000000
3,1.29165037788073,1.21802710584224,0.992423588698085,1,1.00399500019104,0,0.333333333333333,NA,9682269799,241942078,10000000000
4,0.913207180549354,0.840786216601033,0.970408620368837,1,1.04643634624871,0,0.333333333333333,NA,9734175941,190169665,10000000000
5,1.09085222083249,1.02497903555765,0.968152126409683,1,1.06338492123886,0,0.333333333333333,NA,9719531367,204802781,10000000000
6,0.872935115049164,0.808178448108392,0.975807122162812,1,1.07330018564249,0,0.333333333333333,NA,9746714629,177623966,10000000000
7,0.852250432894897,0.800248731818087,0.906705966600524,1,1.13241121420353,0,0.333333333333333,NA,9764129071,159876221,10000000000
8,1.54625717457071,1.47183665942754,0.977701395714715,1,1.0409896572497,4.41057693560065e-4,0.666666666666667,2266.27708098308,9639577284,284719150,10000000000
9,0.652226263412876,0.585269448680762,0.976502461723993,1,1.06471310268444,0.0762301761079796,1,12.3778047204934,9767376876,156867808,10000000000
10,1.5641111561323,1.49460503331517,0.975880929782339,1,1.07160710019697,0.055853099001987,0.666666666666667,16.9041094920163,9643879507,280363049,10000000000
11,1.22238731631752,1.15076731607033,0.983272491724296,1,1.04841664178143,0,0.333333333333333,NA,9694831810,229226023,10000000000
12,1.50998402365991,1.45392805646169,0.940909714178653,1,1.08820021466613,0,0.333333333333333,NA,9676128488,248286171,10000000000
13,0.532445117152053,0.452273343330188,0.994039061093673,1,1.01913636731685,0.0712265189988053,0.666666666666667,13.039714618326,9768393802,155771508,10000000000
14,1.77782160553427,1.72327771633494,0.942424955649997,1,1.05769939571083,0.381816710078267,0.666666666666667,1.61905771435466,9634163220,290144635,10000000000
15,0.559767134041285,0.487654939717181,0.958270631102909,1,1.09437980994893,0,0.333333333333333,NA,9771885240,152359898,10000000000
16,1.75784860473009,1.69606443582248,0.918615824430204,1,1.17822723812042,0,0.333333333333333,NA,9622254554,302117984,10000000000
17,0.575850704967726,0.50439144831281,0.971752725680754,1,1.04462259201627,0.0909752752751887,1,10.1583097552098,9770798162,153458503,10000000000
18,1.08022942236244,1.00626398800322,0.989306871582925,1,1.01776890275621,0.2648656059228,0.666666666666667,2.77549964071768,9712043032,212198369,10000000000
19,1.29479409806823,1.21957349303372,0.993169174870146,1,1.02472737709531,0,0.333333333333333,NA,9679877332,244326595,10000000000
20,1.87083584273908,1.85121685558732,0.570830474744799,1,3.91533624217579,0,0.333333333333333,NA,9715945942,208113140,10000000000
21,1.21184168892713,1.14520852522766,0.948089349535653,1,1.14891055425078,0,0.333333333333333,NA,9702166206,222151829,10000000000
22,0.929939933008141,0.854329945217429,0.99149297238725,1,1.00860658919095,0,0.333333333333333,NA,9728357044,195810775,10000000000
23,0.765261482629315,0.700453233059824,0.969046530741866,1,1.11878899316853,0,0.333333333333333,NA,9758308990,166055917,10000000000
24,1.37351203718674,1.30326652216624,0.982106294400213,1,1.00980440717981,0,0.333333333333333,NA,9673864982,250214309,10000000000
25,3.1582060571188,3.08280789334164,0.983978966964917,1,1.03655510040478,0.00523027250447528,0.666666666666667,190.194626884995,9156609586,767470843,10000000000
26,1.1833668985547,1.16132208766377,0.591716058427468,1,3.54815622760676,0.00187110430842008,0.666666666666667,533.44374827203,9783741603,140597685,10000000000
27,1.35285254960342,1.30008361037491,0.956141644274867,1,1.07667597894037,0.025951857325438,0.666666666666667,37.532887548661,9704427696,219892470,10000000000
28,0.76153288667369,0.693758893984538,0.966218469984879,1,1.03907280674215,0,0.333333333333333,NA,9755516743,168638116,10000000000
29,1.83838060072244,1.77005312429458,0.966344503973341,1,1.03068453565206,0.00361028131565022,0.666666666666667,275.986725567637,9593590125,330616684,10000000000
30,2.89841092581652,2.83645144079025,0.93400134918868,1,1.11634925167417,0,0.333333333333333,NA,9314677913,609490187,10000000000
31,0.761363715959779,0.695240892350007,0.980116893693607,1,1.05234104759729,0.00155350003376231,0.666666666666667,642.707742688766,9756894304,167321086,10000000000
32,0.72064738890064,0.664821654092107,0.884781519036981,1,1.46441080229814,0,0.333333333333333,NA,9772464538,151763460,10000000000
33,1.26996462055969,1.20077587924131,0.972237605008707,1,1.059607342569,0.00703661871855155,0.666666666666667,141.113711144187,9691077616,233252892,10000000000
34,0.932636281757154,0.860827062904509,0.980456018176856,1,1.01609110866908,0,0.333333333333333,NA,9732453263,191803490,10000000000
35,1.37377358334778,1.32243087159507,0.88975374571175,1,1.21242439343115,0,0.333333333333333,NA,9704201256,220181138,10000000000
36,0.603802676072774,0.554603981768362,0.882582382199467,1,1.1210281955272,0,0.333333333333333,NA,9790577245,133790015,10000000000
